EIF2B2	EIF2B1
TAL1	NCAPG2
CRELD1	EEF1G
ERBB2	SUPT6H
NEDD4	GRIN2A
TRIP11	PSMC5
TSC22D4	PSMA1
PAXIP1	SPATA18
BDKRB2	GRK5
HSPH1	CSNK2A2
LENG1	PNMA1
MAPKAPK2	EEF2K
ATN1	FBLN2
SVIL	MKL2
ANXA2	TP53
TALDO1	TERF1
FAF1	IKBKB
ATXN1L	ALG13
VAMP3	IKBKG
CCND1	ESR1
CXCL6	CXCR1
CLU	SYVN1
CRYBB2	CRYBA1
NUAK1	LATS1
MPHOSPH6	EIF3G
EZH2	E2F6
PLEKHA5	SH3BP5L
EDAR	TRAF3
PIK3R3	AMBP
APP	YWHAG
TSHR	CANX
PAFAH1B1	MAP1B
RTDR1	AP2M1
HIST1H3A	TAF1B
RNF111	UBE2D1
IGF1R	PIK3R3
HIST3H3	JAK2
TRAF2	TBK1
ZRANB2	EP300
ABCC5	SERPINA3
TARDBP	XRN2
POLR1D	GRB2
TBC1D7	TSC2
RASSF7	SNAP29
DNAJB6	POLR1D
UXT	RCAN1
UBE2E1	FBXO2
PCMTD2	ATP13A2
RSRC1	SRPK2
RARA	PRAME
